2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v298 (NC): shape=(19, 17782), duration=138.9s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v299 (NC): shape=(19, 22260), duration=173.9s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v29p (ADHD): shape=(19, 24193), duration=189.0s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v300 (NC): shape=(19, 25985), duration=203.0s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v302 (NC): shape=(19, 17841), duration=139.4s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v303 (NC): shape=(19, 19222), duration=150.2s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v304 (NC): shape=(19, 13400), duration=104.7s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v305 (NC): shape=(19, 22273), duration=174.0s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v306 (NC): shape=(19, 18301), duration=143.0s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v307 (NC): shape=(19, 22807), duration=178.2s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v308 (NC): shape=(19, 17025), duration=133.0s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v309 (NC): shape=(19, 24818), duration=193.9s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v30p (ADHD): shape=(19, 21663), duration=169.2s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v310 (NC): shape=(19, 17793), duration=139.0s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v31p (ADHD): shape=(19, 11679), duration=91.2s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v32p (ADHD): shape=(19, 18049), duration=141.0s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v33p (ADHD): shape=(19, 29217), duration=228.3s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v34p (ADHD): shape=(19, 19555), duration=152.8s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v35p (ADHD): shape=(19, 15305), duration=119.6s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v36p (ADHD): shape=(19, 17401), duration=135.9s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v37p (ADHD): shape=(19, 9286), duration=72.5s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v38p (ADHD): shape=(19, 24695), duration=192.9s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v39p (ADHD): shape=(19, 18177), duration=142.0s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v3p (ADHD): shape=(19, 33570), duration=262.3s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v40p (ADHD): shape=(19, 20097), duration=157.0s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v41p (NC): shape=(19, 12500), duration=97.7s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v42p (NC): shape=(19, 16704), duration=130.5s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v43p (NC): shape=(19, 12750), duration=99.6s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v44p (NC): shape=(19, 11393), duration=89.0s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v45p (NC): shape=(19, 10871), duration=84.9s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v46p (NC): shape=(19, 9823), duration=76.7s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v47p (NC): shape=(19, 10864), duration=84.9s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v48p (NC): shape=(19, 10452), duration=81.7s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v49p (NC): shape=(19, 16769), duration=131.0s
2026-09-21 14:36:19 | src.data_loader | INFO | DS-2 loaded v50p (NC): shape=(19, 16239), duration=126.9s
